fragment_smiles,COMPOUND_ID,SMILES,FFV_true,ffv_pred,residual,fragment_attr,FFV_confidence,ordinal_level,abs_err
CCCCCC,2044694871,*CC(CCCCCC)C(CCCCCC)COC(=O)c1ccc(C(=O)O*)cc1*,0.37457172,0.3721118211746216,-0.0024598988253783927,-0.0010423958301544,high,A,0.0024598988253783927
O,151905187,*CCOCCOCCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,0.33926085,0.3641696393489838,0.024908789348983773,0.0014600336551666,high,A,0.024908789348983773
CC,2147438796,*OS(=O)(=O)c1cccc(S(=O)(=O)Oc2ccc(C(C)(CC)c3ccc(*)cc3)cc2)c1*,0.36537348,0.3639240026473999,-0.0014494773526000926,-0.0012992739677429,high,A,0.0014494773526000926
C1=CC=CC=C1,934750353,*Nc1ccc(C(C)(c2ccccc2)c2ccc(N*)c(*)c2)cc1,0.35460063,0.3652747392654419,0.010674109265441878,0.0012490153312683,high,A,0.010674109265441878
O,979179304,*CCOC(=O)NCC1(C)CC(NC(=O)O*)CC(C)(C)C1*,0.33606063,0.3623423397541046,0.0262817097541046,0.0035187244415283,high,A,0.0262817097541046
C1=CC=CC=C1,329116469,*c1nnc(-c2ccc(Oc3ccc(C=Cc4ccc(Oc5ccc(*)c6ccccc56)cc4)cc3)c3ccccc23)o1,0.38851942,0.3758181154727936,-0.012701304527206414,0.0010430335998535,high,A,0.012701304527206414
CC(C)COC=O,750805819,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCCCC(*)=O)cc2)C(=O)OCC(C)C)cc1*,0.35420645,0.3661666214466095,0.011960171446609491,-0.002398943901062,high,A,0.011960171446609491
C=CC,2147438645,*Nc1ccc(C(C)(CC=C)c2ccc(N*)c(*)c2)cc1,0.34950176,0.3630082428455353,0.013506482845535295,-0.0010119616985321,high,A,0.013506482845535295
CCCCCCCOC1=CC=C(OC(C)=O)C=C1,355158617,*CC(*)(CC(=O)Oc1ccc(OCCCCCCC)cc1)C(=O)Oc1ccc(OCCCCCCC)cc1*,0.37071795,0.3575876116752624,-0.013130338324737645,-0.0101408541202545,high,A,0.013130338324737645
OC1=C(Cl)C=C(Cl)C=C1Cl,1112294940,*OP(=O)(Oc1c(Cl)cc(Cl)cc1Cl)Oc1c(Cl)c(Cl)c(*)c(Cl)c1Cl,0.36280983,0.3668989360332489,0.004089106033248913,-0.007729685306549,high,A,0.004089106033248913
NC1=C2C(=O)C=CC(=O)C2=C(N)C(OC2=CC=CC=C2)=C1,1453979051,*Nc1cc(Oc2ccccc2)c(N*)c2c1C(=O)c1c(N)c(Oc3ccccc3)cc(N)c1C2=O,0.34012349,0.3673795044422149,0.027256014442214926,0.0027790606021881,high,A,0.027256014442214926
O,101351388,*CCc1ccc(CCNC(=O)CCCCCCCCCC(=O)N*)cc1*,0.35500792,0.36189284324646,0.006884923246460006,0.0012274861335754,high,A,0.006884923246460006
NC1=CC=CC=C1,152393943,*Nc1ccc(C(CCC)(c2ccc(N)cc2)c2ccc(N*)c(*)c2)cc1,0.36407339,0.3638663351535797,-0.00020705484642030703,0.0008692622184753,high,A,0.00020705484642030703
O,46067784,*CCCCn1c2ccccc2c2cc(COC(=O)C(*)(C)C*)ccc21,0.3630391,0.358286452293396,-0.004752647706603996,0.001941579580307,high,A,0.004752647706603996
